"POA","State","Population"
"2000","NSW",27411
"2006","NSW",1261
"2007","NSW",8846
"2008","NSW",11712
"2009","NSW",12813
"2010","NSW",27733
"2011","NSW",21199
"2015","NSW",9922
"2016","NSW",13213
"2017","NSW",24694
"2018","NSW",17028
"2019","NSW",10840
"2020","NSW",14771
"2021","NSW",15312
"2022","NSW",12510
"2023","NSW",10719
"2024","NSW",11073
"2025","NSW",7407
"2026","NSW",32489
"2027","NSW",8191
"2028","NSW",4643
"2029","NSW",9957
"2030","NSW",14080
"2031","NSW",34729
"2032","NSW",16692
"2033","NSW",11573
"2034","NSW",20716
"2035","NSW",34496
"2036","NSW",30411
"2037","NSW",16119
"2038","NSW",9452
"2039","NSW",8726
"2040","NSW",22242
"2041","NSW",15687
"2042","NSW",19128
"2043","NSW",8014
"2044","NSW",7840
"2045","NSW",6453
"2046","NSW",26822
"2047","NSW",11950
"2048","NSW",7940
"2049","NSW",11278
"2050","NSW",8967
"2052","NSW",3428
"2060","NSW",13987
"2061","NSW",5943
"2062","NSW",7004
"2063","NSW",6348
"2064","NSW",9525
"2065","NSW",30116
"2066","NSW",31625
"2067","NSW",26404
"2068","NSW",16811
"2069","NSW",14251
"2070","NSW",13504
"2071","NSW",13550
"2072","NSW",7666
"2073","NSW",16354
"2074","NSW",22261
"2075","NSW",20456
"2076","NSW",24653
"2077","NSW",37792
"2079","NSW",7096
"2080","NSW",1704
"2081","NSW",5365
"2082","NSW",5399
"2083","NSW",1514
"2084","NSW",3625
"2085","NSW",11624
"2086","NSW",13417
"2087","NSW",12796
"2088","NSW",28476
"2089","NSW",11914
"2090","NSW",13726
"2092","NSW",7137
"2093","NSW",22872
"2094","NSW",5841
"2095","NSW",15863
"2096","NSW",14656
"2097","NSW",15531
"2099","NSW",39922
"2100","NSW",20911
"2101","NSW",19394
"2102","NSW",7499
"2103","NSW",10674
"2104","NSW",3620
"2105","NSW",1848
"2106","NSW",9303
"2107","NSW",14670
"2108","NSW",1672
"2109","NSW",3090
"2110","NSW",10348
"2111","NSW",14415
"2112","NSW",32852
"2113","NSW",18365
"2114","NSW",24059
"2115","NSW",10738
"2116","NSW",6640
"2117","NSW",21288
"2118","NSW",24340
"2119","NSW",11646
"2120","NSW",20207
"2121","NSW",28215
"2122","NSW",31161
"2123","NSW",0
"2125","NSW",16377
"2126","NSW",18768
"2127","NSW",14535
"2128","NSW",4166
"2129","NSW",4
"2130","NSW",7306
"2131","NSW",23839
"2132","NSW",10613
"2133","NSW",11014
"2134","NSW",16033
"2135","NSW",25252
"2136","NSW",7367
"2137","NSW",26507
"2138","NSW",20022
"2139","NSW",55
"2140","NSW",16161
"2141","NSW",28675
"2142","NSW",26297
"2143","NSW",8920
"2144","NSW",37370
"2145","NSW",79213
"2146","NSW",17467
"2147","NSW",36346
"2148","NSW",63074
"2150","NSW",31500
"2151","NSW",21308
"2152","NSW",11218
"2153","NSW",56556
"2154","NSW",39594
"2155","NSW",55447
"2156","NSW",12941
"2157","NSW",3741
"2158","NSW",8579
"2159","NSW",4976
"2160","NSW",35971
"2161","NSW",31420
"2162","NSW",18622
"2163","NSW",9592
"2164","NSW",19626
"2165","NSW",42438
"2166","NSW",52768
"2167","NSW",9637
"2168","NSW",43451
"2170","NSW",105455
"2171","NSW",34865
"2172","NSW",2779
"2173","NSW",14432
"2174","NSW",2267
"2175","NSW",1837
"2176","NSW",47812
"2177","NSW",15980
"2178","NSW",4234
"2179","NSW",6529
"2190","NSW",25571
"2191","NSW",6317
"2192","NSW",12713
"2193","NSW",15254
"2194","NSW",24538
"2195","NSW",27148
"2196","NSW",31813
"2197","NSW",9067
"2198","NSW",9039
"2199","NSW",18016
"2200","NSW",43688
"2203","NSW",13707
"2204","NSW",26499
"2205","NSW",19447
"2206","NSW",19407
"2207","NSW",28536
"2208","NSW",12450
"2209","NSW",15772
"2210","NSW",30582
"2211","NSW",16845
"2212","NSW",15846
"2213","NSW",21788
"2214","NSW",3952
"2216","NSW",28065
"2217","NSW",26846
"2218","NSW",16425
"2219","NSW",13196
"2220","NSW",32487
"2221","NSW",16482
"2222","NSW",12790
"2223","NSW",20903
"2224","NSW",14209
"2225","NSW",5408
"2226","NSW",12505
"2227","NSW",14622
"2228","NSW",18364
"2229","NSW",28712
"2230","NSW",28842
"2231","NSW",2269
"2232","NSW",32870
"2233","NSW",29497
"2234","NSW",30579
"2250","NSW",67195
"2251","NSW",32708
"2256","NSW",15603
"2257","NSW",29009
"2258","NSW",5167
"2259","NSW",59513
"2260","NSW",23418
"2261","NSW",52751
"2262","NSW",20828
"2263","NSW",24263
"2264","NSW",14233
"2265","NSW",5809
"2267","NSW",2757
"2278","NSW",2571
"2280","NSW",26682
"2281","NSW",14273
"2282","NSW",14775
"2283","NSW",23297
"2284","NSW",10498
"2285","NSW",30715
"2286","NSW",3909
"2287","NSW",36400
"2289","NSW",19118
"2290","NSW",33422
"2291","NSW",13413
"2292","NSW",2465
"2293","NSW",2521
"2294","NSW",1929
"2295","NSW",6925
"2296","NSW",1883
"2297","NSW",1683
"2298","NSW",9499
"2299","NSW",11205
"2300","NSW",10579
"2302","NSW",565
"2303","NSW",9145
"2304","NSW",15177
"2305","NSW",12506
"2306","NSW",3359
"2307","NSW",3905
"2308","NSW",1327
"2311","NSW",861
"2312","NSW",1453
"2314","NSW",203
"2315","NSW",14655
"2316","NSW",5846
"2317","NSW",6241
"2318","NSW",12149
"2319","NSW",6685
"2320","NSW",34559
"2321","NSW",14624
"2322","NSW",18453
"2323","NSW",25736
"2324","NSW",23651
"2325","NSW",28459
"2326","NSW",7333
"2327","NSW",7610
"2328","NSW",2438
"2329","NSW",2111
"2330","NSW",20349
"2331","NSW",318
"2333","NSW",13645
"2334","NSW",2829
"2335","NSW",6156
"2336","NSW",2614
"2337","NSW",7889
"2338","NSW",1432
"2339","NSW",677
"2340","NSW",49070
"2341","NSW",1572
"2342","NSW",465
"2343","NSW",4968
"2344","NSW",756
"2345","NSW",720
"2346","NSW",3147
"2347","NSW",1933
"2350","NSW",25336
"2351","NSW",976
"2352","NSW",2715
"2353","NSW",1124
"2354","NSW",3574
"2355","NSW",664
"2356","NSW",160
"2357","NSW",4159
"2358","NSW",3772
"2359","NSW",736
"2360","NSW",14524
"2361","NSW",909
"2365","NSW",3726
"2369","NSW",923
"2370","NSW",7683
"2371","NSW",1155
"2372","NSW",4742
"2379","NSW",316
"2380","NSW",10390
"2381","NSW",1190
"2382","NSW",1322
"2386","NSW",356
"2387","NSW",199
"2388","NSW",2673
"2390","NSW",8755
"2395","NSW",669
"2396","NSW",856
"2397","NSW",380
"2398","NSW",236
"2399","NSW",596
"2400","NSW",10083
"2401","NSW",321
"2402","NSW",1789
"2403","NSW",720
"2404","NSW",1837
"2405","NSW",512
"2408","NSW",372
"2409","NSW",1027
"2410","NSW",281
"2411","NSW",121
"2415","NSW",390
"2420","NSW",4022
"2421","NSW",1831
"2422","NSW",5334
"2423","NSW",2959
"2424","NSW",429
"2425","NSW",1782
"2426","NSW",719
"2427","NSW",3113
"2428","NSW",24012
"2429","NSW",9715
"2430","NSW",34017
"2431","NSW",5133
"2439","NSW",2941
"2440","NSW",21816
"2441","NSW",4349
"2443","NSW",8892
"2444","NSW",46289
"2445","NSW",6464
"2446","NSW",13330
"2447","NSW",7180
"2448","NSW",9002
"2449","NSW",2188
"2450","NSW",43896
"2452","NSW",15119
"2453","NSW",2771
"2454","NSW",7571
"2455","NSW",3001
"2456","NSW",14749
"2460","NSW",29212
"2462","NSW",2443
"2463","NSW",7541
"2464","NSW",6740
"2465","NSW",292
"2466","NSW",1725
"2469","NSW",4009
"2470","NSW",15225
"2471","NSW",2522
"2472","NSW",1855
"2473","NSW",3092
"2474","NSW",6332
"2475","NSW",386
"2476","NSW",780
"2477","NSW",12207
"2478","NSW",28316
"2479","NSW",4735
"2480","NSW",44596
"2481","NSW",11770
"2482","NSW",6276
"2483","NSW",10604
"2484","NSW",18874
"2485","NSW",14375
"2486","NSW",31594
"2487","NSW",13430
"2488","NSW",3262
"2489","NSW",7353
"2490","NSW",667
"2500","NSW",40512
"2502","NSW",12433
"2505","NSW",5008
"2506","NSW",7608
"2508","NSW",8975
"2515","NSW",11110
"2516","NSW",6108
"2517","NSW",13732
"2518","NSW",19066
"2519","NSW",16931
"2522","NSW",300
"2525","NSW",11564
"2526","NSW",15629
"2527","NSW",21381
"2528","NSW",23773
"2529","NSW",26021
"2530","NSW",32017
"2533","NSW",15623
"2534","NSW",5711
"2535","NSW",7332
"2536","NSW",17720
"2537","NSW",11811
"2538","NSW",2397
"2539","NSW",17978
"2541","NSW",25642
"2545","NSW",1042
"2546","NSW",9118
"2548","NSW",7736
"2549","NSW",3788
"2550","NSW",15857
"2551","NSW",3502
"2555","NSW",229
"2556","NSW",2509
"2557","NSW",8948
"2558","NSW",11115
"2559","NSW",3070
"2560","NSW",76525
"2563","NSW",305
"2564","NSW",13925
"2565","NSW",19985
"2566","NSW",26323
"2567","NSW",38501
"2568","NSW",1146
"2569","NSW",1360
